experiment_id,day_number,visitors_control,visitors_treatment,conversions_control,conversions_treatment,conversion_rate_control,conversion_rate_treatment,observed_lift,daily_visitors_this_day,daily_conversions_control,daily_conversions_treatment,sample_size_progress,device_type,region,traffic_source,segment,experiment_category,baseline_conversion_rate,true_treatment_effect,effect_type,final_outcome,final_p_value,final_z_statistic,final_lift,winner_binary
1,1,533,533,47,59,0.08818,0.110694,0.022514,533,47,59,0.0656,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,2,1128,1128,99,118,0.087766,0.10461,0.016844,595,52,59,0.1389,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,3,1720,1720,161,195,0.093605,0.113372,0.019767,592,62,77,0.2118,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,4,2297,2297,218,270,0.094906,0.117545,0.022638,577,57,75,0.2829,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,5,2885,2885,261,353,0.090468,0.122357,0.031889,588,43,83,0.3553,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,6,3463,3463,316,424,0.09125,0.122437,0.031187,578,55,71,0.4265,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,7,4054,4054,374,491,0.092255,0.121115,0.02886,591,58,67,0.4993,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,8,4671,4671,436,566,0.093342,0.121173,0.027831,617,62,75,0.5752,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,9,5183,5183,475,616,0.091646,0.11885,0.027204,512,39,50,0.6383,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,10,5806,5806,526,671,0.090596,0.11557,0.024974,623,51,55,0.715,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,11,6322,6322,576,727,0.09111,0.114995,0.023885,516,50,56,0.7786,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,12,6826,6826,624,776,0.091415,0.113683,0.022268,504,48,49,0.8406,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,13,7488,7488,687,846,0.091747,0.112981,0.021234,662,63,70,0.9222,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
1,14,8147,8147,739,920,0.090708,0.112925,0.022217,659,52,74,1.0033,Mobile,APAC,Paid,Returning,Pricing,0.09367182020405163,0.019820908591247962,positive,treatment_wins,2.7464998291204523e-06,4.6889205546433725,0.022216766908064317,1
2,1,641,641,115,128,0.179407,0.199688,0.020281,641,115,128,0.0695,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,2,1304,1304,255,277,0.195552,0.212423,0.016871,663,140,149,0.1413,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,3,1958,1958,386,417,0.19714,0.212972,0.015832,654,131,140,0.2122,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,4,2606,2606,509,544,0.195318,0.208749,0.013431,648,123,127,0.2825,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,5,3319,3319,643,681,0.193733,0.205182,0.011449,713,134,137,0.3597,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,6,3983,3983,768,795,0.192819,0.199598,0.006779,664,125,114,0.4317,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,7,4605,4605,885,916,0.192182,0.198914,0.006732,622,117,121,0.4991,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,8,5216,5216,1012,1034,0.194018,0.198236,0.004218,611,127,118,0.5654,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,9,5783,5783,1109,1155,0.191769,0.199723,0.007954,567,97,121,0.6268,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,10,6458,6458,1242,1269,0.19232,0.1965,0.004181,675,133,114,0.7,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,11,7063,7063,1360,1377,0.192553,0.19496,0.002407,605,118,108,0.7656,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,12,7652,7652,1471,1499,0.192237,0.195896,0.003659,589,111,122,0.8294,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,13,8341,8341,1615,1627,0.193622,0.195061,0.001439,689,144,128,0.9041,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
2,14,9035,9035,1762,1758,0.195019,0.194577,-0.000443,694,147,131,0.9793,Desktop,EU,Paid,Returning,Checkout,0.19162143208968577,0.0,null,inconclusive,0.9401081335243138,-0.07513395306279991,-0.0004427227448810245,0
3,1,1285,1285,200,195,0.155642,0.151751,-0.003891,1285,200,195,0.0746,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,2,2539,2539,404,388,0.159118,0.152816,-0.006302,1254,204,193,0.1474,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,3,3788,3788,607,608,0.160243,0.160507,0.000264,1249,203,220,0.22,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,4,4845,4845,764,778,0.157688,0.160578,0.00289,1057,157,170,0.2814,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,5,6063,6063,953,984,0.157183,0.162296,0.005113,1218,189,206,0.3521,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,6,7449,7449,1160,1218,0.155726,0.163512,0.007786,1386,207,234,0.4326,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,7,8641,8641,1329,1416,0.153802,0.16387,0.010068,1192,169,198,0.5018,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,8,9917,9917,1535,1626,0.154785,0.163961,0.009176,1276,206,210,0.5759,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,9,11250,11250,1739,1863,0.154578,0.1656,0.011022,1333,204,237,0.6533,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
3,10,12584,12584,1934,2096,0.153687,0.166561,0.012873,1334,195,233,0.7308,Mobile,EU,Social,New Users,Landing Page,0.15443897010793886,0.011220443905340173,positive,treatment_wins,0.003583107292512988,2.9127069126968,0.011327134404057498,1
